授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
工業数学Ｃ,小椋 大輔・大谷 真・西嶋 一欽・林 和希,2回生以上,後期,水3,工学部専門科目,建築学科,,2025
工学倫理,新津 葵一・石田 泰一郎・今堀 博・鈴木 基史・立場 貴文・梅野 健・杉安 和憲・花崎 秀史・河瀬 元明・岸田 恭輔・大西 正光・金多 隆・伊藤 禎彦・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2025
工学序論,山本 貴士・荒木 慶一・花崎 秀史・野村 泰伸・生越 友樹・伊藤 孝行・木谷 哲夫・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,,2025
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2025
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2025
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2025
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2025
地球工学総論,高岡 昌輝・日髙 平,4回生以上,前期,水4,工学部専門科目,建築学科,,2025
建築計画学Ｉ,三浦 研,2回生以上,後期,火2,工学部専門科目,建築学科,,2025
住居計画学,柳沢 究,2回生以上,後期,水2,工学部専門科目,建築学科,,2025
設計演習Ｉ,柳沢 究・西野 佐弥香・猪股 圭佑・小見山 陽介・魚谷 繁礼・山田 紗子・畑 友洋・岩瀨 諒子,2回生以上,前期,"月5,金4,5",工学部専門科目,建築学科,,2025
設計演習II,神吉 紀世子・平田 晃久・小林 広英・岩本 馨・田路 貴浩・河井 敏明・高野 洋平・中山 英之・山田 紗子,2回生以上,後期,"月4,5",工学部専門科目,建築学科,,2025
建築環境工学Ｉ,原田 和典・小椋 大輔,2回生以上,前期,水2,工学部専門科目,建築学科,,2025
建築環境工学II,石田 泰一郎・大谷 真,2回生以上,後期,金2,工学部専門科目,建築学科,,2025
建築構造力学Ｉ,大﨑 純・張 景耀・林 和希,2回生以上,前期,金1,工学部専門科目,建築学科,,2025
建築構造力学II,荒木 慶一・藤田 皓平,2回生以上,後期,金1,工学部専門科目,建築学科,,2025
建築材料,杉野 未奈,2回生以上,後期,月2,工学部専門科目,建築学科,,2025
建築設計論,平田 晃久,2回生以上,前期,月2,工学部専門科目,建築学科,,2025
都市設計学,小林 広英・落合 知帆,3回生以上,前期,月3,工学部専門科目,建築学科,,2025
建築設備システム,小椋 大輔・石田 泰一郎・伊庭 千恵美,3回生以上,前期,木1,工学部専門科目,建築学科,,2025
鉄筋コンクリート構造Ｉ,谷 昌典,3回生以上,前期,金2,工学部専門科目,建築学科,,2025
鉄骨構造Ｉ,池田 芳樹・聲高 裕治,3回生以上,前期,木2,工学部専門科目,建築学科,,2025
建築生産Ｉ,金多 隆・西野 佐弥香,2回生以上,前期,水1,工学部専門科目,建築学科,,2025
建築構造力学III,大﨑 純・荒木 慶一・張 景耀・藤田 皓平,3回生以上,前期,"火2,水2",工学部専門科目,建築学科,,2025
建築環境工学演習,原田 和典・小椋 大輔・石田 泰一郎・大谷 真・伊庭 千恵美・仁井 大策・西野 智研・孫 安陽,4回生以上,前期,"水1,2",工学部専門科目,建築学科,,2025
建築計画学II,三浦 研・永田 久子・松森 織江,4回生以上,前期,水3,工学部専門科目,建築学科,,2025
建築生産II,金多 隆・西野 佐弥香・木内 利夫,3回生以上,後期,火1,工学部専門科目,建築学科,,2025
建築論,田路 貴浩・猪股 圭佑,3回生以上,前期,水3,工学部専門科目,建築学科,,2025
都市・地域論,神吉 紀世子,3回生以上,後期,木2,工学部専門科目,建築学科,,2025
建築光・音環境学,石田 泰一郎・大谷 真,3回生以上,前期,月1,工学部専門科目,建築学科,,2025
建築構造解析,池田 芳樹・荒木 慶一,3回生以上,後期,水2,工学部専門科目,建築学科,,2025
建築基礎構造,境 有紀・藤田 皓平・長嶋 史明,4回生以上,前期,月2,工学部専門科目,建築学科,,2025
耐震構造,杉野 未奈,3回生以上,後期,水3,工学部専門科目,建築学科,,2025
鉄筋コンクリート構造II,谷 昌典,3回生以上,後期,月3,工学部専門科目,建築学科,,2025
鉄骨構造II,聲高 裕治・倉田 真宏・稲益 博行,3回生以上,後期,月2,工学部専門科目,建築学科,,2025
設計演習III,平田 晃久・金多 隆・神吉 紀世子・冨島 義幸・岩本 馨・清山 陽平・大西 麻貴・西澤 徹夫,3回生以上,前期,"月4,5,金4,5",工学部専門科目,建築学科,,2025
設計演習IV,平田 晃久・三浦 研・山本 麻子・藤本 壮介・清山 陽平,3回生以上,後期,"月5,火3,4,5,水5",工学部専門科目,建築学科,,2025
景観デザイン論,田路 貴浩・猪股 圭佑・小見山 陽介,2回生以上,前期,水5,工学部専門科目,建築学科,,2025
耐風構造,西嶋 一欽,4回生以上,前期,火2,工学部専門科目,建築学科,,2025
建築・都市行政,岡田 耕介,2回生以上,前期,水4,工学部専門科目,建築学科,,2025
設計演習Ｖ,平田 晃久・金多 隆・神吉 紀世子・冨島 義幸・三浦 研・DANIELL，Thomas Charles・田路 貴浩・小林 広英・牧 紀男・柳沢 究・西野 佐弥香・落合 知帆・猪股 圭佑・小見山 陽介・岩瀨 諒子・安田 渓・清山 陽平・杉中 瑞季,4回生以上,前期,"火3,4,5,水5",工学部専門科目,建築学科,,2025
構造設計演習,谷 昌典・聲高 裕治・佐藤 裕一・山田 諒・福本 義之,4回生以上,前期,"金4,5",工学部専門科目,建築学科,,2025
構造・材料実験,聲高 裕治・谷 昌典・杉野 未奈・稲益 博行・佐藤 裕一・山田 諒,4回生以上,前期,"月3,4",工学部専門科目,建築学科,,2025
建築安全設計,原田 和典・西野 智研・仁井 大策,4回生以上,前期,金2,工学部専門科目,建築学科,,2025
建築工学概論<建築>,荒木 慶一・聲高 裕治・松島 信一・谷 昌典,1回生以上,後期,月1,工学部専門科目,建築学科,,2025
都市環境工学,原田 和典・石田 泰一郎・西野 智研,3回生以上,後期,木1,工学部専門科目,建築学科,,2025
行動・建築デザイン論,牧 紀男,3回生以上,前期,火4,工学部専門科目,建築学科,,2025
